Purpose,Sector,Instrument,Action,Price,Lots/grams,Total Spend,Action Date,Notes,Approach
Long Term Investing,Stock,BAYU,BUY,1165,3,"Rp349,500.00",25 May 2026,https://www.tradingview.com/symbols/IDX-BAYU/,Growth Value
Long Term Investing,Stock,BUKA,BUY,129,30,"Rp387,000.00",25 May 2026,BUKABUKALAPAK.COM TBKD,Deep Value
Long Term Investing,Stock,DIVA,BUY,151,25,"Rp377,500.00",25 May 2026,DIVADISTRIBUSI VOUCHER NUSANTARA TBKD,Deep Value
Long Term Investing,Stock,IGAR,BUY,450,8,"Rp360,000.00",25 May 2026,https://www.tradingview.com/symbols/IDX-IGAR/,Growth Value
Long Term Investing,Stock,INCI,BUY,700,5,"Rp350,000.00",25 May 2026,INCIINTAN WIJAYA INTERNATIONALD,Deep Value
Long Term Investing,Stock,LPIN,BUY,402,9,"Rp361,800.00",25 May 2026,https://www.tradingview.com/symbols/IDX-LPIN/,Dividend Value
Long Term Investing,Stock,LPKR,BUY,70,55,"Rp385,000.00",25 May 2026,LPKRLIPPO KARAWACID,Deep Value
Long Term Investing,Stock,LPLI,BUY,248,15,"Rp372,000.00",25 May 2026,LPLISTAR PACIFIC TBKD ,Deep Value
Long Term Investing,Stock,RIGS,BUY,690,5,"Rp345,000.00",25 May 2026,https://www.tradingview.com/symbols/IDX-RIGS/,Growth Value
Long Term Investing,Stock,SCCO,BUY,2400,1,"Rp240,000.00",25 May 2026,SCCOSUCACO(SUPREME CABLE MANUFACTURING)D,Deep Value
Long Term Investing,Stock,UCID,BUY,388,10,"Rp388,000.00",25 May 2026,UCIDPT Uni-Charm Indonesia TbkD,Deep Value
